"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 2023","0.071380","0.070218","0.073037","0.069098","1.68B","1.63%"
"Jan 01, 2023","0.070237","0.070169","0.070783","0.069075","723.17M","0.13%"
"Dec 31, 2022","0.070144","0.068392","0.071239","0.067988","1.18B","2.56%"
"Dec 30, 2022","0.068395","0.070933","0.071405","0.066392","1.86B","-3.60%"
"Dec 29, 2022","0.070952","0.070376","0.071441","0.069455","1.16B","0.81%"
"Dec 28, 2022","0.070382","0.073704","0.073848","0.069610","2.31B","-4.51%"
"Dec 27, 2022","0.073704","0.075672","0.076088","0.072824","1.04B","-2.61%"
"Dec 26, 2022","0.075679","0.076009","0.076484","0.074613","888.95M","-0.43%"
"Dec 25, 2022","0.076009","0.077525","0.077653","0.073927","1.68B","-1.96%"
"Dec 24, 2022","0.077529","0.077206","0.078020","0.076690","562.87M","0.42%"
"Dec 23, 2022","0.077203","0.076864","0.078862","0.076576","1.55B","0.44%"
"Dec 22, 2022","0.076864","0.073720","0.077563","0.073294","2.18B","4.25%"
"Dec 21, 2022","0.073729","0.074852","0.075020","0.071591","1.44B","-1.50%"
"Dec 20, 2022","0.074852","0.071364","0.075388","0.071166","1.63B","4.89%"
"Dec 19, 2022","0.071360","0.078437","0.079460","0.070279","2.42B","-9.02%"
"Dec 18, 2022","0.078437","0.079212","0.080041","0.077641","944.00M","-0.98%"
"Dec 17, 2022","0.079213","0.075821","0.079417","0.075551","1.99B","4.53%"
"Dec 16, 2022","0.075783","0.084790","0.086787","0.074476","2.64B","-10.62%"
"Dec 15, 2022","0.084790","0.088220","0.088779","0.084204","1.30B","-3.88%"
"Dec 14, 2022","0.088211","0.091038","0.092372","0.087642","1.78B","-3.09%"
"Dec 13, 2022","0.091023","0.090286","0.094664","0.087269","2.30B","0.82%"
"Dec 12, 2022","0.090281","0.092657","0.092987","0.085129","2.68B","-2.64%"
"Dec 11, 2022","0.092725","0.096382","0.097117","0.092025","832.14M","-3.80%"
"Dec 10, 2022","0.096385","0.096692","0.097361","0.096070","607.12M","-0.31%"
"Dec 09, 2022","0.096684","0.098508","0.099272","0.095707","1.22B","-1.86%"
"Dec 08, 2022","0.098512","0.095740","0.099027","0.094852","1.30B","2.91%"
"Dec 07, 2022","0.095730","0.100190","0.101192","0.093419","1.79B","-4.44%"
"Dec 06, 2022","0.100178","0.101484","0.102728","0.098121","1.51B","-1.29%"
"Dec 05, 2022","0.101488","0.104139","0.111584","0.099575","2.70B","-2.51%"
"Dec 04, 2022","0.104097","0.099597","0.105412","0.099552","2.04B","4.52%"
"Dec 03, 2022","0.099595","0.102198","0.102899","0.098700","1.80B","-2.54%"
"Dec 02, 2022","0.102187","0.101708","0.103398","0.096942","2.06B","0.47%"
"Dec 01, 2022","0.101708","0.106775","0.107715","0.100512","2.50B","-4.75%"
"Nov 30, 2022","0.106775","0.101480","0.109820","0.100010","3.81B","5.21%"
"Nov 29, 2022","0.101484","0.095139","0.104971","0.093712","3.85B","6.67%"
"Nov 28, 2022","0.095136","0.098537","0.099435","0.090785","4.31B","-3.43%"
"Nov 27, 2022","0.098519","0.088906","0.107755","0.088810","5.56B","10.82%"
"Nov 26, 2022","0.088904","0.089357","0.095262","0.087559","2.62B","-0.50%"
"Nov 25, 2022","0.089350","0.081459","0.091394","0.080777","3.26B","9.69%"
"Nov 24, 2022","0.081459","0.081976","0.084131","0.080554","982.58M","-0.63%"
"Nov 23, 2022","0.081978","0.078728","0.083464","0.077829","1.67B","4.18%"
"Nov 22, 2022","0.078692","0.074668","0.079510","0.073346","1.91B","5.39%"
"Nov 21, 2022","0.074666","0.077082","0.077259","0.071512","2.42B","-3.11%"
"Nov 20, 2022","0.077064","0.084521","0.085797","0.076582","1.55B","-8.83%"
"Nov 19, 2022","0.084529","0.084121","0.084957","0.083840","641.01M","0.29%"
"Nov 18, 2022","0.084285","0.085026","0.085901","0.083653","1.05B","-0.59%"
"Nov 17, 2022","0.084787","0.084884","0.087207","0.082764","1.44B","-0.11%"
"Nov 16, 2022","0.084883","0.087030","0.091109","0.083648","1.99B","-2.47%"
"Nov 15, 2022","0.087030","0.085879","0.089413","0.085163","1.84B","1.34%"
"Nov 14, 2022","0.085879","0.084991","0.090930","0.079456","3.30B","1.04%"
"Nov 13, 2022","0.084993","0.088086","0.091381","0.083175","2.88B","-3.49%"
"Nov 12, 2022","0.088070","0.085067","0.094503","0.078578","4.89B","3.49%"
"Nov 11, 2022","0.085096","0.089720","0.092769","0.080232","3.40B","-5.16%"
"Nov 10, 2022","0.089723","0.074224","0.093836","0.073521","6.20B","20.87%"
"Nov 09, 2022","0.074228","0.088374","0.091945","0.070767","7.51B","-15.95%"
"Nov 08, 2022","0.088311","0.111210","0.112465","0.078195","8.97B","-20.59%"
"Nov 07, 2022","0.111210","0.114765","0.118970","0.108016","2.82B","-3.09%"
"Nov 06, 2022","0.114755","0.124473","0.127520","0.112910","2.54B","-7.80%"
"Nov 05, 2022","0.124469","0.126094","0.135591","0.122251","3.62B","-1.30%"
"Nov 04, 2022","0.126109","0.122372","0.129056","0.115611","6.32B","3.07%"
"Nov 03, 2022","0.122354","0.127706","0.136887","0.120139","5.36B","-4.24%"
"Nov 02, 2022","0.127765","0.142183","0.147603","0.122578","8.86B","-10.18%"
"Nov 01, 2022","0.142243","0.126834","0.158237","0.124880","12.96B","12.13%"
"Oct 31, 2022","0.126858","0.117636","0.130866","0.114439","9.63B","7.86%"
"Oct 30, 2022","0.117611","0.121878","0.143027","0.112175","11.68B","-3.50%"
"Oct 29, 2022","0.121873","0.083749","0.150228","0.083042","19.47B","45.51%"
"Oct 28, 2022","0.083754","0.076846","0.088300","0.072656","8.12B","8.99%"
"Oct 27, 2022","0.076844","0.072803","0.085412","0.071784","7.01B","5.55%"
"Oct 26, 2022","0.072806","0.062945","0.073536","0.062625","3.81B","15.66%"
"Oct 25, 2022","0.062951","0.059452","0.064170","0.059148","1.49B","5.89%"
"Oct 24, 2022","0.059447","0.060370","0.060889","0.058700","507.06M","-1.53%"
"Oct 23, 2022","0.060370","0.059691","0.060444","0.058837","380.52M","1.14%"
"Oct 22, 2022","0.059691","0.059318","0.059892","0.059109","310.03M","0.63%"
"Oct 21, 2022","0.059317","0.059434","0.059493","0.057233","473.97M","-0.20%"
"Oct 20, 2022","0.059439","0.058691","0.060315","0.058283","693.89M","1.27%"
"Oct 19, 2022","0.058691","0.059754","0.060757","0.058356","729.82M","-1.78%"
"Oct 18, 2022","0.059754","0.059943","0.061015","0.058557","539.99M","-0.31%"
"Oct 17, 2022","0.059943","0.058900","0.060165","0.058557","304.53M","1.79%"
"Oct 16, 2022","0.058890","0.058564","0.059435","0.058490","246.76M","0.55%"
"Oct 15, 2022","0.058568","0.058663","0.059734","0.058003","366.71M","-0.16%"
"Oct 14, 2022","0.058663","0.059650","0.061004","0.058204","516.32M","-1.66%"
"Oct 13, 2022","0.059650","0.059810","0.060230","0.055189","1.14B","-0.27%"
"Oct 12, 2022","0.059810","0.060246","0.060988","0.059333","395.67M","-0.73%"
"Oct 11, 2022","0.060249","0.059381","0.060844","0.057564","741.52M","1.47%"
"Oct 10, 2022","0.059376","0.062125","0.062505","0.059367","645.77M","-4.42%"
"Oct 09, 2022","0.062125","0.061642","0.062378","0.061189","343.06M","0.78%"
"Oct 08, 2022","0.061642","0.062365","0.062656","0.061215","360.93M","-1.18%"
"Oct 07, 2022","0.062378","0.063445","0.063816","0.061377","801.92M","-1.69%"
"Oct 06, 2022","0.063453","0.064781","0.066794","0.063019","1.06B","-2.05%"
"Oct 05, 2022","0.064781","0.065842","0.066697","0.062792","1.73B","-1.58%"
"Oct 04, 2022","0.065823","0.060341","0.066343","0.059956","2.59B","9.09%"
"Oct 03, 2022","0.060337","0.059239","0.060490","0.058851","515.86M","1.85%"
"Oct 02, 2022","0.059239","0.060584","0.060958","0.058940","502.90M","-2.21%"
"Oct 01, 2022","0.060579","0.061675","0.063071","0.060288","1.03B","-1.78%"
"Sep 30, 2022","0.061677","0.060834","0.062199","0.059839","985.49M","1.40%"
"Sep 29, 2022","0.060827","0.060507","0.061075","0.059309","567.05M","0.50%"
"Sep 28, 2022","0.060521","0.060497","0.061089","0.058553","721.76M","0.04%"
"Sep 27, 2022","0.060498","0.061130","0.063046","0.059796","939.39M","-1.03%"
"Sep 26, 2022","0.061129","0.061179","0.061867","0.059901","865.73M","-0.08%"
"Sep 25, 2022","0.061179","0.063105","0.063847","0.060119","1.05B","-3.05%"
"Sep 24, 2022","0.063106","0.063370","0.068159","0.062808","3.23B","-0.42%"
"Sep 23, 2022","0.063370","0.059580","0.064205","0.059220","2.09B","6.37%"
"Sep 22, 2022","0.059577","0.057188","0.060039","0.056841","816.19M","4.17%"
"Sep 21, 2022","0.057190","0.058409","0.060734","0.056106","1.32B","-2.09%"
"Sep 20, 2022","0.058409","0.058528","0.060497","0.057620","898.13M","-0.21%"
"Sep 19, 2022","0.058531","0.057449","0.058809","0.055954","955.50M","1.90%"
"Sep 18, 2022","0.057439","0.062210","0.062210","0.056881","836.91M","-7.66%"
"Sep 17, 2022","0.062204","0.060468","0.062385","0.060263","706.96M","2.88%"
"Sep 16, 2022","0.060465","0.058613","0.060488","0.058146","822.86M","3.15%"
"Sep 15, 2022","0.058617","0.061122","0.061208","0.058498","1.11B","-4.10%"
"Sep 14, 2022","0.061121","0.059625","0.061443","0.059306","1.17B","2.50%"
"Sep 13, 2022","0.059632","0.063953","0.064147","0.059268","1.50B","-6.76%"
"Sep 12, 2022","0.063952","0.063699","0.065359","0.062630","1.06B","0.44%"
"Sep 11, 2022","0.063672","0.064673","0.065288","0.062644","1.06B","-1.54%"
"Sep 10, 2022","0.064670","0.063876","0.065386","0.063217","1.32B","1.24%"
"Sep 09, 2022","0.063876","0.060956","0.064662","0.060911","1.54B","4.78%"
"Sep 08, 2022","0.060960","0.060965","0.061400","0.059674","755.31M","-0.01%"
"Sep 07, 2022","0.060966","0.058853","0.061520","0.057526","941.23M","3.59%"
"Sep 06, 2022","0.058853","0.062710","0.065124","0.058203","1.59B","-6.16%"
"Sep 05, 2022","0.062714","0.063211","0.063719","0.061049","659.09M","-0.79%"
"Sep 04, 2022","0.063211","0.062646","0.063708","0.061841","705.39M","0.90%"
"Sep 03, 2022","0.062648","0.061643","0.063807","0.061146","904.51M","1.59%"
"Sep 02, 2022","0.061668","0.062299","0.062718","0.060727","754.25M","-1.02%"
"Sep 01, 2022","0.062304","0.061329","0.062551","0.059984","957.75M","1.60%"
"Aug 31, 2022","0.061323","0.061505","0.063418","0.060768","943.83M","-0.29%"
"Aug 30, 2022","0.061503","0.063815","0.064372","0.060242","969.52M","-3.61%"
"Aug 29, 2022","0.063809","0.061646","0.064013","0.060917","982.15M","3.50%"
"Aug 28, 2022","0.061650","0.063382","0.064149","0.061336","916.32M","-2.69%"
"Aug 27, 2022","0.063352","0.063316","0.063973","0.062231","1.21B","0.03%"
"Aug 26, 2022","0.063331","0.068790","0.069127","0.062709","1.95B","-7.86%"
"Aug 25, 2022","0.068737","0.067708","0.071312","0.067644","1.30B","1.54%"
"Aug 24, 2022","0.067697","0.068487","0.069348","0.066785","839.41M","-1.18%"
"Aug 23, 2022","0.068507","0.068085","0.068927","0.066662","750.63M","0.87%"
"Aug 22, 2022","0.067914","0.068997","0.069078","0.064882","1.30B","-1.57%"
"Aug 21, 2022","0.068996","0.069174","0.070484","0.067366","1.35B","-0.25%"
"Aug 20, 2022","0.069172","0.067719","0.070807","0.067575","1.74B","2.28%"
"Aug 19, 2022","0.067629","0.074347","0.074837","0.066952","3.23B","-9.02%"
"Aug 18, 2022","0.074337","0.079612","0.081420","0.073574","1.80B","-6.66%"
"Aug 17, 2022","0.079641","0.085749","0.087760","0.079005","2.89B","-7.11%"
"Aug 16, 2022","0.085735","0.076055","0.088242","0.075725","5.69B","12.78%"
"Aug 15, 2022","0.076022","0.080708","0.080895","0.074258","2.50B","-5.81%"
"Aug 14, 2022","0.080711","0.072552","0.083282","0.072287","4.47B","11.29%"
"Aug 13, 2022","0.072524","0.071932","0.074583","0.071497","1.17B","0.82%"
"Aug 12, 2022","0.071934","0.070503","0.072299","0.069482","782.41M","2.03%"
"Aug 11, 2022","0.070503","0.070888","0.074604","0.070170","1.64B","-0.54%"
"Aug 10, 2022","0.070888","0.068750","0.071091","0.066582","1.25B","3.11%"
"Aug 09, 2022","0.068751","0.069896","0.073732","0.067769","1.84B","-1.63%"
"Aug 08, 2022","0.069893","0.068877","0.072082","0.068768","1.13B","1.48%"
"Aug 07, 2022","0.068877","0.068618","0.069856","0.067464","504.36M","0.38%"
"Aug 06, 2022","0.068618","0.069699","0.071065","0.068440","758.12M","-1.55%"
"Aug 05, 2022","0.069697","0.067216","0.070095","0.067206","948.32M","3.69%"
"Aug 04, 2022","0.067214","0.066174","0.067541","0.065783","626.19M","1.57%"
